cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples
OVERLAP|(none)|RESTRAINT_ACTION|NONE,1,OVERLAP,(none),(none),RESTRAINT_ACTION,NONE,suspension
OVERLAP|ACTION_CONTACT|(none)|RELATIONSHIP_ROLE,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),RELATIONSHIP_ROLE,group_incest
OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|EXPOSURE_INTIMATE,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,ACTION_INTERACTION,EXPOSURE_INTIMATE,smelling_underwear
OVERLAP|ACTION_CONTACT|ACTION_INTERACTION|REPRO,1,OVERLAP,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,ACTION_INTERACTION,REPRO,holding_pregnancy_test
OVERLAP|ACTION_CONTACT|BODY_STATE|ANATOMY,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,BODY_STATE,ANATOMY,breasts_squeezed_together
OVERLAP|ACTION_CONTACT|BODY_STATE|NONE,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,BODY_STATE,NONE,gaping
OVERLAP|ACTION_CONTACT|BODY_STATE|REPRO,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,BODY_STATE,REPRO,after_birth
OVERLAP|ACTION_CONTACT|CLOTHING_EXPOSURE|ANATOMY+EXPOSURE_INTIMATE,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,CLOTHING_EXPOSURE,ANATOMY+EXPOSURE_INTIMATE,penis_in_panties
OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|RELATIONSHIP_ROLE,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,CONTEXT_MODIFIER,RELATIONSHIP_ROLE,implied_incest
OVERLAP|ACTION_CONTACT|DAMAGE_STATE_ACTION|EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,DAMAGE_STATE_ACTION,EXPLICIT_SEX,skull_fucking
OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ADULT_ROLE_DEVICE+ANATOMY,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,DIRECT_COMPOSITE,ADULT_ROLE_DEVICE+ANATOMY,used_condom_on_penis
OVERLAP|ACTION_CONTACT|DIRECT_COMPOSITE|ANATOMY+SEXUALIZED_CLOTHING,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,DIRECT_COMPOSITE,ANATOMY+SEXUALIZED_CLOTHING,penis_in_swimsuit
OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,FLUID_STATE_ACTION,EXPLICIT_SEX,bukkake
OVERLAP|ACTION_CONTACT|IMPLEMENT_OBJECT|EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,IMPLEMENT_OBJECT,EXPLICIT_SEX,onahole_job
OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|ANATOMY+EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,INSERTION_STRUCTURED,ANATOMY+EXPLICIT_SEX,anal_fingering
OVERLAP|ACTION_CONTACT|POSE_COMPOSITION|EXPLICIT_SEX,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,POSE_COMPOSITION,EXPLICIT_SEX,piledriver_(sex)
OVERLAP|ACTION_CONTACT|RELATION_ROLE_CONTEXT|RESTRAINT_FETISH,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RELATION_ROLE_CONTEXT,RESTRAINT_FETISH,dominator_(bdsm)
OVERLAP|ACTION_CONTACT|RESTRAINT_ACTION|ANATOMY+RESTRAINT_FETISH,1,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,RESTRAINT_ACTION,ANATOMY+RESTRAINT_FETISH,breast_bondage
OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|ANATOMY,1,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RESTRAINT_IMPLEMENT,ANATOMY,anal_hook
OVERLAP|BODY_PART|(none)|ANATOMY+INJURY,1,OVERLAP,BODY_PART,BODY_PART,(none),ANATOMY+INJURY,blood_from_vagina
OVERLAP|BODY_PART|(none)|RESTRAINT_FETISH,1,OVERLAP,BODY_PART,BODY_PART,(none),RESTRAINT_FETISH,labia_clamps
OVERLAP|BODY_PART|ACTION_INTERACTION|ANATOMY,1,OVERLAP,BODY_PART,BODY_PART,ACTION_INTERACTION,ANATOMY,anal
OVERLAP|BODY_PART|IMPLEMENT_OBJECT|NONE,1,OVERLAP,BODY_PART,BODY_PART,IMPLEMENT_OBJECT,NONE,labia_piercing
OVERLAP|BODY_PART|INSERTION_STRUCTURED|NONE,1,OVERLAP,BODY_PART,BODY_PART,INSERTION_STRUCTURED,NONE,large_insertion
OVERLAP|BODY_PART|POSE_COMPOSITION|NONE,1,OVERLAP,BODY_PART,BODY_PART,POSE_COMPOSITION,NONE,knees_to_chest
OVERLAP|BODY_PART|REPRO_BODY_STATE|REPRO,1,OVERLAP,BODY_PART,BODY_PART,REPRO_BODY_STATE,REPRO,pregnant
OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|ANATOMY+RESTRAINT_FETISH,1,OVERLAP,BODY_PART,BODY_PART,RESTRAINT_IMPLEMENT,ANATOMY+RESTRAINT_FETISH,leash_between_breasts
OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|NONE,1,OVERLAP,BODY_PART,BODY_PART,RESTRAINT_IMPLEMENT,NONE,nose_hook
OVERLAP|BODY_PART|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,1,OVERLAP,BODY_PART,BODY_PART,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,tongue_clamp
OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_STATE|ANATOMY,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,BODY_STATE,ANATOMY,covered_penis
OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_STATE|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,BODY_STATE,NONE,erection_under_clothes
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|ANATOMY+EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,ANATOMY+EXPOSURE_INTIMATE,panties_on_penis
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|RESTRAINT_FETISH,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,RESTRAINT_FETISH,open_collar
OVERLAP|CLOTHING_STATE_EXPOSURE|CONTEXT_MODIFIER|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CONTEXT_MODIFIER,NONE,implied_nudity
OVERLAP|CLOTHING_STATE_EXPOSURE|IMPLEMENT_OBJECT|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,IMPLEMENT_OBJECT,NONE,unworn_butt_plug
OVERLAP|CLOTHING_STATE_EXPOSURE|INSERTION_STRUCTURED|EXPLICIT_SEX,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,INSERTION_STRUCTURED,EXPLICIT_SEX,fingering_through_clothes
OVERLAP|CLOTHING_STATE_EXPOSURE|INSERTION_STRUCTURED|EXPLICIT_SEX+EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,INSERTION_STRUCTURED,EXPLICIT_SEX+EXPOSURE_INTIMATE,fingering_through_panties
OVERLAP|CLOTHING_STATE_EXPOSURE|NONHUMAN_INTERACTION|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,NONHUMAN_INTERACTION,NONE,tentacles_under_clothes
