identity_key,state
cracked_face,LOW_RISK_BODY_CANDIDATE_V19_1
cracked_skin,LOW_RISK_BODY_CANDIDATE_V19_1
cracked_skull,LOW_RISK_BODY_CANDIDATE_V19_1
cramp,LOW_RISK_BODY_CANDIDATE_V19_1
cramped,LOW_RISK_BODY_CANDIDATE_V19_1
crescent_facial_mark,LOW_RISK_BODY_CANDIDATE_V19_1
crescent_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
crocodilian_tail,LOW_RISK_BODY_CANDIDATE_V19_1
cross_facial_mark,LOW_RISK_BODY_CANDIDATE_V19_1
cross_piercing,LOW_RISK_BODY_CANDIDATE_V19_1
cross_scar,LOW_RISK_BODY_CANDIDATE_V19_1
crystal_tail,LOW_RISK_BODY_CANDIDATE_V19_1
crystallization,LOW_RISK_BODY_CANDIDATE_V19_1
curled_fingers,LOW_RISK_BODY_CANDIDATE_V19_1
curled_horns,LOW_RISK_BODY_CANDIDATE_V19_1
curled_tail,LOW_RISK_BODY_CANDIDATE_V19_1
curved_horns,LOW_RISK_BODY_CANDIDATE_V19_1
cuts,LOW_RISK_BODY_CANDIDATE_V19_1
dandruff,LOW_RISK_BODY_CANDIDATE_V19_1
dark_skin,LOW_RISK_BODY_CANDIDATE_V19_1
darkened_skin,LOW_RISK_BODY_CANDIDATE_V19_1
deaf,LOW_RISK_BODY_CANDIDATE_V19_1
decay,LOW_RISK_BODY_CANDIDATE_V19_1
deep_skin,LOW_RISK_BODY_CANDIDATE_V19_1
deer_antlers,LOW_RISK_BODY_CANDIDATE_V19_1
deer_ears,LOW_RISK_BODY_CANDIDATE_V19_1
deer_head,LOW_RISK_BODY_CANDIDATE_V19_1
deer_skull,LOW_RISK_BODY_CANDIDATE_V19_1
deer_tail,LOW_RISK_BODY_CANDIDATE_V19_1
deformed,LOW_RISK_BODY_CANDIDATE_V19_1
deltoids,LOW_RISK_BODY_CANDIDATE_V19_1
demon_horns,LOW_RISK_BODY_CANDIDATE_V19_1
demon_tail,LOW_RISK_BODY_CANDIDATE_V19_1
demon_wings,LOW_RISK_BODY_CANDIDATE_V19_1
dent,LOW_RISK_BODY_CANDIDATE_V19_1
dental_filling,LOW_RISK_BODY_CANDIDATE_V19_1
dentures,LOW_RISK_BODY_CANDIDATE_V19_1
detachable_thumb,LOW_RISK_BODY_CANDIDATE_V19_1
detached_arm,LOW_RISK_BODY_CANDIDATE_V19_1
detached_ears,LOW_RISK_BODY_CANDIDATE_V19_1
detached_horns,LOW_RISK_BODY_CANDIDATE_V19_1
