identity_key,general_path,confidence,risk_tokens,candidate_class
akari_(pokemon)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
akasha_terminal,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
akatsuki_(ensemble_stars!),PERSON_COUNT,MEDIUM,,NON_SEXUAL
akatsuki_(kancolle)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
akatsuki_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
akemi_homura_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
akg_k-series_headphones,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
akiha_school_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
akira_movie_poster,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
akiyama_mio_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
akm,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
akms,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ako_(blue_archive)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
aks-74,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
aks-74u,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
akuma_homura_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
alarm_clock,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
alarm_siren,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
alchemist,PERSON_COUNT,HIGH,,NON_SEXUAL
alcina_dimitrescu_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
alcohol,OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
alcohol_burner,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
alcohol_carton,OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
alfa_romeo,OBJECT_PROP/VEHICLE,MEDIUM,,NON_SEXUAL
alice_(alice_in_wonderland)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
alice_gear,OBJECT_PROP,MEDIUM,,NON_SEXUAL
alice_margatroid_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
alien,PERSON_COUNT,MEDIUM,,NON_SEXUAL
all-terrain_vehicle,OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
allagan_tomestone,OBJECT_PROP,MEDIUM,,NON_SEXUAL
almond,OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
almond_tofu_(genshin_impact),OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
alondite,OBJECT_PROP/WEAPON,MEDIUM,,NON_SEXUAL
alpaca_girl,PERSON_COUNT,HIGH,,NON_SEXUAL
alpaca_hair_ornament,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
alpha_legion,PERSON_COUNT,MEDIUM,,NON_SEXUAL
alpine_(carmaker),OBJECT_PROP/VEHICLE,MEDIUM,,NON_SEXUAL
alstroemeria_(idolmaster),PERSON_COUNT,MEDIUM,,NON_SEXUAL
alter_servant,PERSON_COUNT,MEDIUM,,NON_SEXUAL
altering_(agito),CLOTHING/ACCESSORY,MEDIUM,,NON_SEXUAL
alternate_(the_mandela_catalogue),PERSON_COUNT,MEDIUM,,NON_SEXUAL
alternate_costume,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
alternate_eyewear,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
alternate_hair_ornament,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
alternate_halo,CLOTHING/ACCESSORY,MEDIUM,,NON_SEXUAL
alternate_headwear,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
alternate_neckwear,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
alternate_species,PERSON_COUNT,MEDIUM,,NON_SEXUAL
alternate_weapon,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
alto_saxophone,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
altyn_helmet,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
alvis_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
alzano_school_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
ama_usa_an_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
amamiya_ren_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
amane_kanata_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
amanogawa_high_school_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
amarr_empire_(eve_online),OBJECT_PROP/VEHICLE,MEDIUM,,NON_SEXUAL
amate_yuzuriha_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
amatsukaze_(kancolle)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
amazake_(drink),OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
amazon_warrior,PERSON_COUNT,HIGH,,NON_SEXUAL
amazons_quartet,PERSON_COUNT,HIGH,,NON_SEXUAL
amber_(gemstone),OBJECT_PROP,MEDIUM,,NON_SEXUAL
ambiguous_gender,PERSON_COUNT,MEDIUM,,NON_SEXUAL
ambrosia_(dungeon_meshi),OBJECT_PROP,MEDIUM,,NON_SEXUAL
ambulance,OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
ame-no-sakahoko_(fate),OBJECT_PROP/WEAPON,MEDIUM,,NON_SEXUAL
ame_no_kisaki_academy_school_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
amekaji_gyaru,PERSON_COUNT,MEDIUM,,NON_SEXUAL
amenoma_kageuchi_(genshin_impact),OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
amenomurakumo-no-tsurugi_(fate),OBJECT_PROP/WEAPON,MEDIUM,,NON_SEXUAL
american_football_(object),OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
american_football_helmet,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
american_football_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
amestris_military_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
amesuku_gyaru,PERSON_COUNT,MEDIUM,,NON_SEXUAL
amigasa,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
amiibo,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
amiya_(arknights)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
ammunition,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ammunition_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ammunition_box,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
ammunition_pouch,CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
amos'_bow_(genshin_impact),OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
amplifier,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
amulet,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
amusphere,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
amy_rose_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
an-94,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
analog_clock,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
anatomical_model,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
ancestor_and_descendant,PERSON_COUNT,HIGH,,NON_SEXUAL
anchor,OBJECT_PROP,HIGH,,NON_SEXUAL
anchor_choker,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
anchor_earrings,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
anchor_hair_ornament,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
anchor_hat_ornament,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
anchor_necklace,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
anchor_ornament,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
anchovy_(girls_und_panzer)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
ancient_dark,PERSON_COUNT,MEDIUM,,NON_SEXUAL
andon,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
androgynous,PERSON_COUNT,MEDIUM,,NON_SEXUAL
android,PERSON_COUNT,HIGH,,NON_SEXUAL
angel,PERSON_COUNT,HIGH,,NON_SEXUAL
angel's_24_uniform_(blue_archive),CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
angel_(kof)_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
angel_and_devil,PERSON_COUNT,HIGH,,NON_SEXUAL
angel_french,OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
angel_statue,OBJECT_PROP,HIGH,,NON_SEXUAL
angel_wing_uniform,CLOTHING/UNIFORM,HIGH,,NON_SEXUAL
angela_balzac_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
angewomon_(cosplay),CLOTHING/COSTUME,HIGH,,NON_SEXUAL
angled_foregrip,OBJECT_PROP/WEAPON,HIGH,,NON_SEXUAL
anglerfish_costume,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
anglerfish_girl,PERSON_COUNT,MEDIUM,,NON_SEXUAL
animal-shaped_balloon,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
animal-shaped_pillow,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
animal-themed_food,OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
animal-themed_umbrella,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
animal-themed_vehicle,OBJECT_PROP/VEHICLE,HIGH,,NON_SEXUAL
animal_bag,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
animal_charm,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
animal_costume,CLOTHING/COSTUME,HIGH,,NON_SEXUAL
animal_cutout,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
animal_ear_earrings,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_ear_hairband,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_ear_headphones,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_ear_headwear,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_ear_helmet,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_ear_hood,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_ear_piercing,CLOTHING/ACCESSORY,MEDIUM,,NON_SEXUAL
animal_earmuffs,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_earrings,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_hairband,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_hat,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_helmet,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_hood,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_puppet,OBJECT_PROP/DAILY,HIGH,,NON_SEXUAL
animal_realm_yakuza_(touhou),PERSON_COUNT,MEDIUM,,NON_SEXUAL
animal_scarf,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_skull_ornament,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
animal_sticker,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
animalization,PERSON_COUNT,MEDIUM,,NON_SEXUAL
animate_object,OBJECT_PROP,MEDIUM,,NON_SEXUAL
animatech_(league),CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
animation_paper,OBJECT_PROP/DAILY,MEDIUM,,NON_SEXUAL
animatronic,OBJECT_PROP,MEDIUM,,NON_SEXUAL
ankh_earrings,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankh_necklace,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_bell,CLOTHING/ACCESSORY,MEDIUM,,NON_SEXUAL
ankle_belt,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_bow,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_cuffs,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_flower,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_garter,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_gun,OBJECT_PROP/WEAPON,MEDIUM,,NON_SEXUAL
ankle_holster,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_lace-up,CLOTHING/ACCESSORY,MEDIUM,,NON_SEXUAL
ankle_ribbon,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_scrunchie,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_strap,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
ankle_wrap,CLOTHING/ACCESSORY,MEDIUM,,NON_SEXUAL
ankleband,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
anklet,CLOTHING/ACCESSORY,HIGH,,NON_SEXUAL
anmitsu_(dessert),OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
anna_miller,CLOTHING/UNIFORM,MEDIUM,,NON_SEXUAL
announcer,PERSON_COUNT,HIGH,,NON_SEXUAL
anon_tokyo_(bang_dream!),CLOTHING/COSTUME,MEDIUM,,NON_SEXUAL
another_rider_(zi-o),PERSON_COUNT,MEDIUM,,NON_SEXUAL
anpan,OBJECT_PROP/FOOD,HIGH,,NON_SEXUAL
ant_girl,PERSON_COUNT,HIGH,,NON_SEXUAL
antenna_mast,OBJECT_PROP,MEDIUM,,NON_SEXUAL
