identity_key,candidate_state,risk_flags
electrocution,LOW_RISK_CANDIDATE,
electrokinesis,LOW_RISK_CANDIDATE,
element_bending,LOW_RISK_CANDIDATE,
encasement,LOW_RISK_CANDIDATE,
entangled,LOW_RISK_CANDIDATE,
entrance_ceremony,LOW_RISK_CANDIDATE,
esports,LOW_RISK_CANDIDATE,
exercising,LOW_RISK_CANDIDATE,
exhaling_smoke,LOW_RISK_CANDIDATE,
eye_poke,LOW_RISK_CANDIDATE,
eyelid_pull,LOW_RISK_CANDIDATE,
eyewear_switch,LOW_RISK_CANDIDATE,
faceoff,LOW_RISK_CANDIDATE,
facepalm,LOW_RISK_CANDIDATE,
faceplant,LOW_RISK_CANDIDATE,
family_bonding,LOW_RISK_CANDIDATE,
fan_meeting,LOW_RISK_CANDIDATE,
fan_speaking,LOW_RISK_CANDIDATE,
fanning,LOW_RISK_CANDIDATE,
fantasy_racism,LOW_RISK_CANDIDATE,
father-son_kamehameha,LOW_RISK_CANDIDATE,
feeding,LOW_RISK_CANDIDATE,
feeding_animal,LOW_RISK_CANDIDATE,
fencing,LOW_RISK_CANDIDATE,
fencing_suit,LOW_RISK_CANDIDATE,
fetch,LOW_RISK_CANDIDATE,
final_smash,LOW_RISK_CANDIDATE,
finishing_move,LOW_RISK_CANDIDATE,
fireman's_carry,LOW_RISK_CANDIDATE,
firing,LOW_RISK_CANDIDATE,
first_aid,LOW_RISK_CANDIDATE,
fishing,LOW_RISK_CANDIDATE,
fist_bump,LOW_RISK_CANDIDATE,
fist_pump,LOW_RISK_CANDIDATE,
fist_shaking,LOW_RISK_CANDIDATE,
flamenco,LOW_RISK_CANDIDATE,
flick,LOW_RISK_CANDIDATE,
flipping_food,LOW_RISK_CANDIDATE,
flirting,LOW_RISK_CANDIDATE,
flirting_10_image_response,LOW_RISK_CANDIDATE,
florakinesis,LOW_RISK_CANDIDATE,
folding,LOW_RISK_CANDIDATE,
following,LOW_RISK_CANDIDATE,
food_theft,LOW_RISK_CANDIDATE,
footsies,LOW_RISK_CANDIDATE,
force-feeding,LOW_RISK_CANDIDATE,
forced_dressing,LOW_RISK_CANDIDATE,
forced_to_watch,LOW_RISK_CANDIDATE,
forehead-to-forehead,LOW_RISK_CANDIDATE,
forehead_flick,LOW_RISK_CANDIDATE,
fox_mousing,LOW_RISK_CANDIDATE,
fox_shadow_puppet,LOW_RISK_CANDIDATE,
free_hugs,LOW_RISK_CANDIDATE,
freediving,LOW_RISK_CANDIDATE,
fusion_dance,LOW_RISK_CANDIDATE,
gambling,LOW_RISK_CANDIDATE,
gardening,LOW_RISK_CANDIDATE,
geokinesis,LOW_RISK_CANDIDATE,
girl_sandwich,LOW_RISK_CANDIDATE,
giving,LOW_RISK_CANDIDATE,
giving_flower,LOW_RISK_CANDIDATE,
giving_food,LOW_RISK_CANDIDATE,
glomp,LOW_RISK_CANDIDATE,
goldfish_scooping,LOW_RISK_CANDIDATE,
golf,LOW_RISK_CANDIDATE,
gossip,LOW_RISK_CANDIDATE,
grabbing_from_behind,LOW_RISK_CANDIDATE,
grape_stomping,LOW_RISK_CANDIDATE,
grazing_(livestock),LOW_RISK_CANDIDATE,
grooming,LOW_RISK_CANDIDATE,
group_battle,LOW_RISK_CANDIDATE,
hacking,LOW_RISK_CANDIDATE,
hadanugi_dousa,LOW_RISK_CANDIDATE,
hadouken,LOW_RISK_CANDIDATE,
hairdressing,LOW_RISK_CANDIDATE,
handshake,LOW_RISK_CANDIDATE,
handstop,LOW_RISK_CANDIDATE,
hanetsuki,LOW_RISK_CANDIDATE,
hanging_from_ceiling,LOW_RISK_CANDIDATE,
hanging_from_tree,LOW_RISK_CANDIDATE,
hanging_on,LOW_RISK_CANDIDATE,
hat_tip,LOW_RISK_CANDIDATE,
hat_tug,LOW_RISK_CANDIDATE,
hatsumode,LOW_RISK_CANDIDATE,
headbutt,LOW_RISK_CANDIDATE,
headdesk,LOW_RISK_CANDIDATE,
headlock,LOW_RISK_CANDIDATE,
headpat,LOW_RISK_CANDIDATE,
healing,LOW_RISK_CANDIDATE,
healing_animal,LOW_RISK_CANDIDATE,
held_down,LOW_RISK_CANDIDATE,
helping,LOW_RISK_CANDIDATE,
henshin,LOW_RISK_CANDIDATE,
hide_and_seek,LOW_RISK_CANDIDATE,
hiding,LOW_RISK_CANDIDATE,
high_five,LOW_RISK_CANDIDATE,
hiking,LOW_RISK_CANDIDATE,
hissing,LOW_RISK_CANDIDATE,
hitchhiking,LOW_RISK_CANDIDATE,
holding,LOW_RISK_CANDIDATE,
holding_animal,LOW_RISK_CANDIDATE,
holding_bird,LOW_RISK_CANDIDATE,
holding_bug,LOW_RISK_CANDIDATE,
holding_butterfly,LOW_RISK_CANDIDATE,
holding_cat,LOW_RISK_CANDIDATE,
holding_chibi,LOW_RISK_CANDIDATE,
holding_creature,LOW_RISK_CANDIDATE,
holding_digimon,LOW_RISK_CANDIDATE,
holding_dog,LOW_RISK_CANDIDATE,
holding_eyeball,LOW_RISK_CANDIDATE,
holding_fish,LOW_RISK_CANDIDATE,
holding_frog,LOW_RISK_CANDIDATE,
holding_ghost,LOW_RISK_CANDIDATE,
holding_heart_(organ),LOW_RISK_CANDIDATE,
holding_limb,LOW_RISK_CANDIDATE,
holding_nose,LOW_RISK_CANDIDATE,
holding_on,LOW_RISK_CANDIDATE,
holding_organ,LOW_RISK_CANDIDATE,
holding_own_ankle,LOW_RISK_CANDIDATE,
holding_own_ankles,LOW_RISK_CANDIDATE,
holding_own_horns,LOW_RISK_CANDIDATE,
holding_paw,LOW_RISK_CANDIDATE,
holding_pokemon,LOW_RISK_CANDIDATE,
holding_rabbit,LOW_RISK_CANDIDATE,
holding_sheep,LOW_RISK_CANDIDATE,
holding_snake,LOW_RISK_CANDIDATE,
holding_together,LOW_RISK_CANDIDATE,
holding_with_gesture,LOW_RISK_CANDIDATE,
homework,LOW_RISK_CANDIDATE,
hood_grab,LOW_RISK_CANDIDATE,
hood_pull,LOW_RISK_CANDIDATE,
hoodie_pull,LOW_RISK_CANDIDATE,
hoodie_tug,LOW_RISK_CANDIDATE,
horse_racing,LOW_RISK_CANDIDATE,
horseback_archery,LOW_RISK_CANDIDATE,
horseback_riding,LOW_RISK_CANDIDATE,
howling,LOW_RISK_CANDIDATE,
huffing,LOW_RISK_CANDIDATE,
human_tug_of_war,LOW_RISK_CANDIDATE,
humming,LOW_RISK_CANDIDATE,
hummingbird,LOW_RISK_CANDIDATE,
hunting,LOW_RISK_CANDIDATE,
hunting_horn,LOW_RISK_CANDIDATE,
hydrokinesis,LOW_RISK_CANDIDATE,
hypnosis,LOW_RISK_CANDIDATE,
hypnosis_app,LOW_RISK_CANDIDATE,
hypnosis_earrings,LOW_RISK_CANDIDATE,
hypnosis_microphone,LOW_RISK_CANDIDATE,
iaidou,LOW_RISK_CANDIDATE,
imagining,LOW_RISK_CANDIDATE,
imminent_cheating_(relationship),LOW_RISK_CANDIDATE,
imminent_death,LOW_RISK_CANDIDATE,
imminent_eating,LOW_RISK_CANDIDATE,
imminent_explosion,LOW_RISK_CANDIDATE,
imminent_forced_dressing,LOW_RISK_CANDIDATE,
imminent_headpat,LOW_RISK_CANDIDATE,
imminent_stabbing,LOW_RISK_CANDIDATE,
imminent_suicide,LOW_RISK_CANDIDATE,
imminent_throw,LOW_RISK_CANDIDATE,
imminent_tickling,LOW_RISK_CANDIDATE,
impersonation,LOW_RISK_CANDIDATE,
implied_cannibalism,LOW_RISK_CANDIDATE,
implied_cheating_(relationship),LOW_RISK_CANDIDATE,
implied_death,LOW_RISK_CANDIDATE,
implied_drugging,LOW_RISK_CANDIDATE,
implied_self-harm,LOW_RISK_CANDIDATE,
implied_stepping,LOW_RISK_CANDIDATE,
implied_suicide,LOW_RISK_CANDIDATE,
inflating,LOW_RISK_CANDIDATE,
inhaling,LOW_RISK_CANDIDATE,
injection,LOW_RISK_CANDIDATE,
inside_creature,LOW_RISK_CANDIDATE,
inspecting,LOW_RISK_CANDIDATE,
insult,LOW_RISK_CANDIDATE,
interrogation,LOW_RISK_CANDIDATE,
interview,LOW_RISK_CANDIDATE,
introduction,LOW_RISK_CANDIDATE,
joint_lock,LOW_RISK_CANDIDATE,
judo,LOW_RISK_CANDIDATE,
judo_throw,LOW_RISK_CANDIDATE,
juggling,LOW_RISK_CANDIDATE,
kabedon,LOW_RISK_CANDIDATE,
kamehameha_(dragon_ball),LOW_RISK_CANDIDATE,
karana_mudra,LOW_RISK_CANDIDATE,
karaoke,LOW_RISK_CANDIDATE,
karate,LOW_RISK_CANDIDATE,
karate_chop,LOW_RISK_CANDIDATE,
kendo,LOW_RISK_CANDIDATE,
kickboxing,LOW_RISK_CANDIDATE,
kinniku_buster,LOW_RISK_CANDIDATE,
kite_flying,LOW_RISK_CANDIDATE,
kneading_(behavior),LOW_RISK_CANDIDATE,
kneading_dough,LOW_RISK_CANDIDATE,
kneeing,LOW_RISK_CANDIDATE,
kneeling_on_liquid,LOW_RISK_CANDIDATE,
knifed,LOW_RISK_CANDIDATE,
knighting,LOW_RISK_CANDIDATE,
knitting,LOW_RISK_CANDIDATE,
knitting_needle,LOW_RISK_CANDIDATE,
knocking,LOW_RISK_CANDIDATE,
knolling,LOW_RISK_CANDIDATE,
kung_fu,LOW_RISK_CANDIDATE,
kyuudou,LOW_RISK_CANDIDATE,
la_chancla,LOW_RISK_CANDIDATE,
lacrosse,LOW_RISK_CANDIDATE,
landing,LOW_RISK_CANDIDATE,
lap_pillow,LOW_RISK_CANDIDATE,
lap_pillow_invitation,LOW_RISK_CANDIDATE,
late_for_school,LOW_RISK_CANDIDATE,
launching,LOW_RISK_CANDIDATE,
laundry,LOW_RISK_CANDIDATE,
leaning_against_motorcycle,LOW_RISK_CANDIDATE,
leaning_against_vehicle,LOW_RISK_CANDIDATE,
leaning_on_animal,LOW_RISK_CANDIDATE,
leaning_on_ball,LOW_RISK_CANDIDATE,
leaning_on_broom,LOW_RISK_CANDIDATE,
leaning_on_object,LOW_RISK_CANDIDATE,
leaning_on_self,LOW_RISK_CANDIDATE,
leaning_on_table,LOW_RISK_CANDIDATE,
leaning_on_weapon,LOW_RISK_CANDIDATE,
leap_frog,LOW_RISK_CANDIDATE,
lecturing,LOW_RISK_CANDIDATE,
lifting_animal,LOW_RISK_CANDIDATE,
lighting_cigarette,LOW_RISK_CANDIDATE,
lion_dance,LOW_RISK_CANDIDATE,
listening,LOW_RISK_CANDIDATE,
listening_to_music,LOW_RISK_CANDIDATE,
locking,LOW_RISK_CANDIDATE,
looking_for_glasses,LOW_RISK_CANDIDATE,
lying_on_animal,LOW_RISK_CANDIDATE,
lying_on_ball,LOW_RISK_CANDIDATE,
lying_on_branch,LOW_RISK_CANDIDATE,
lying_on_clothes,LOW_RISK_CANDIDATE,
lying_on_lap,LOW_RISK_CANDIDATE,
lying_on_water,LOW_RISK_CANDIDATE,
magic_trick,LOW_RISK_CANDIDATE,
mahjong,LOW_RISK_CANDIDATE,
maintenance,LOW_RISK_CANDIDATE,
make_a_contract,LOW_RISK_CANDIDATE,
makeover,LOW_RISK_CANDIDATE,
mamemaki,LOW_RISK_CANDIDATE,
manzai,LOW_RISK_CANDIDATE,
marriage_proposal,LOW_RISK_CANDIDATE,
mat_play,LOW_RISK_CANDIDATE,
materializing,LOW_RISK_CANDIDATE,
measuring,LOW_RISK_CANDIDATE,
measuring_cup,LOW_RISK_CANDIDATE,
measuring_stick,LOW_RISK_CANDIDATE,
meeting,LOW_RISK_CANDIDATE,
meowing,LOW_RISK_CANDIDATE,
messy_eater,LOW_RISK_CANDIDATE,
mexican_standoff,LOW_RISK_CANDIDATE,
milestone_celebration,LOW_RISK_CANDIDATE,
milking_cow,LOW_RISK_CANDIDATE,
mimikaki,LOW_RISK_CANDIDATE,
mind_reading,LOW_RISK_CANDIDATE,
mining,LOW_RISK_CANDIDATE,
mining_helmet,LOW_RISK_CANDIDATE,
mixed_holding,LOW_RISK_CANDIDATE,
mixing,LOW_RISK_CANDIDATE,
mixing_bowl,LOW_RISK_CANDIDATE,
mixing_console,LOW_RISK_CANDIDATE,
mochitsuki,LOW_RISK_CANDIDATE,
money_bath,LOW_RISK_CANDIDATE,
muay_thai,LOW_RISK_CANDIDATE,
multitasking,LOW_RISK_CANDIDATE,
mutual_feeding,LOW_RISK_CANDIDATE,
mutual_tsundere,LOW_RISK_CANDIDATE,
naval_battle,LOW_RISK_CANDIDATE,
necktie_lift,LOW_RISK_CANDIDATE,
neckwear_grab,LOW_RISK_CANDIDATE,
nekoken_technique,LOW_RISK_CANDIDATE,
nibbling,LOW_RISK_CANDIDATE,
ninjutsu,LOW_RISK_CANDIDATE,
noogie,LOW_RISK_CANDIDATE,
nose_picking,LOW_RISK_CANDIDATE,
nose_pinch,LOW_RISK_CANDIDATE,
