identity_key,candidate_state,risk_flags
face_hold,RESIDUAL_UNCLASSIFIED,relation_or_body_token
face_in_hands,RESIDUAL_UNCLASSIFIED,relation_or_body_token
face_in_pillow,RESIDUAL_UNCLASSIFIED,relation_or_body_token
face_in_shadow,RESIDUAL_UNCLASSIFIED,relation_or_body_token
face_on_another's_chest,RESIDUAL_UNCLASSIFIED,relation_or_body_token
face_squeeze,RESIDUAL_UNCLASSIFIED,relation_or_body_token
face_stretching,RESIDUAL_UNCLASSIFIED,relation_or_body_token
fed_by_viewer,RESIDUAL_UNCLASSIFIED,relation_or_body_token
feeding_viewer,RESIDUAL_UNCLASSIFIED,relation_or_body_token
feet_on_chair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
feet_on_table,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_cannon,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_claws,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_counting,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_counting_duo,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_frame,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_frame_duo,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_frame_over_eye,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_gun,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_heart,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_in_glove,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_in_own_ear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_on_eyewear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_on_forehead,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_on_trigger,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_painting,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_pointer,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_to_another's_cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_to_another's_nose,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_to_cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_to_eye,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_to_eyewear,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_to_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_to_own_chin,RESIDUAL_UNCLASSIFIED,relation_or_body_token
