identity_key,state
naughty_smile,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
need_to_pee,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
newhalf,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
nip_slip,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
nippleless,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
nippleslip,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
nipslip,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
no_briefs,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
non-consensual,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
non_con,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
non_consensual,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
noncon,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
nonconsensual,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
nopan,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
nosejob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
novagina,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
nsfw,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
onani,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
oneshota,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
oophorectomy,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
open_cup,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
open_legs,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
oppai,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
oral_object_insertion,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
orchiectomy,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
oshikko,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
overboob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
overflow,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
oversized_insertion,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
oviposition,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pain_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
panchira,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pantsu,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pantygag,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pantyhose_down,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pantyhose_sniffing,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pantyhosepull,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pantyjob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pantyless,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pantypull,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pecfuck,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pee_drink,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pee_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pee_tube,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
peeing_on_another,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
peeing_pants,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
penectomy,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
penetrate,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
penetrated,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pierced_labia,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
piledriver,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
piss,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
piss_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pissing,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pleasure_face,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pooping,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pooping_self,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
porno,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pornographic,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pov_ass,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
preteen,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
princess_plug,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
prostate_massage,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
public_exposure,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
puke,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
pussyjuice,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
questionable,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
r-18,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
raceplay,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
rainbow_vomit,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
rapeface,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
reach_around,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
reacharound,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
rectal_prolapse,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
red_butt,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
reverse_cowgirl,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
rimjob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
rimming,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ropebondage,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
ropes,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
rori,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
salpingectomy,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
sandaljob,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
scat_play,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
schoolboy,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
seethrough,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
self-mutilation,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
self_ball_busting,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
self_facial,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
self_pleasure,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
self_stimulation,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
sensitive,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
severed_body_parts,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
severed_limbs,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
sexualized,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
shared_insertion,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
shemale,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
shirikoki,SPECIAL_ONLY_RESIDUAL_UNCLASSIFIED_V21
