identity_key,priority_band,is_general,is_special,general_primary_path,general_status,general_confidence,special_id,generation_family,generation_role,issue104_risk,prior_evidence,sample_rank,reviewed_class,review_status,review_reason
drugged,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,1805,BODY_STATE,body_state,NO,,015433bc479aca3cde1773e2d9c269bcd572dca89221a0d391bcd0f5109e7f7b,,,
horse_anus,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1009,,,NO,,0168d2ac37b2d98192531a954e9437f79a548d5b66031f304dd22fbe63608e32,,,
dark_labia,P1_SPECIAL_OR_OVERLAP,YES,YES,BODY_PART,,HIGH,785,,,NO,,01bab42b28ccaf7c272dcf4efb061670d62d447ca005df376f2a03047ff58475,,,
backless_outfit,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2206,CLOTHING_EXPOSURE,visual_state,NO,,01c0da544bdc5a394fa2bee6fddd95b8850f2c74e37d1f3eb6fbd7b5dbf092e4,,,
magic_penis,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1347,,,NO,,023334b977a3337b82bacc1a47f4b313d21b6500e04c8a11410a3fe832ad3fa6,,,
frotting,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1657,,,NO,,023dcc23413bf6ffcf78cb38bd0ba30cd641b290ce7535e08cbd5b60f3b5dca2,,,
strip,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2779,,,NO,,02484e45bc3059d3e83e5f64325c8a6c6e5e09fc986509cb31a1cc1f39cda1c1,,,
fondling_testicles,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1404,,,NO,,0255b5972491f1b3579a03fa1ce48bdbca2da5b04783f7d72f060d67e100ba67,,,
girl_on_top,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTERACTION,,MEDIUM,1749,POSE_COMPOSITION,pose_camera,NO,,025cf73d3e0bfa3360843fd2cf8557a7b67d0c94108cca9028676952720ac01f,,,
removing_maebari,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2499,,,NO,,0265cfdb9752cc5666bdfe5ee43c86cc07b6c9305bc35b1f75bb6611de95f4af,,,
virgin_killer_sweater,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/EVERYDAY,,HIGH,2526,CLOTHING_EXPOSURE,visual_state,NO,,026e19afdee1379afb0260881bcf9f12d9b156bb0a4207c20e95014f00b46efb,,,
licking_own_penis,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1494,,,NO,,026e3eb406336fb0708cadebdb170fb0547d79ce944e081106bce7b3dbdefc1d,,,
implied_object_insertion,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,MEDIUM,986,CONTEXT_MODIFIER,semantic_support,NO,,0291ff15f6a7da4b881af512a39d27db32bf921322063562e168a664c506d441,,,
clitoris_chain,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,MEDIUM,1029,,,NO,,02acc9005dbf939f07361658267720e150ec5095f8176bf6476af4ec4ad4a929,,,
penis_on_pussy,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,693,DIRECT_COMPOSITE,spatial_relation,NO,,02ad3a85b43c0373e0e88d04e833c2085b10bfd4a05ea9a5f0fd5793fedb496b,,,
open_legs,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2760,,,NO,,02b7dcf8274bda8f62bfa7d2b91a72e2f78b899c54321790ff8450d5266fdca7,,,
nude_male_clothed_male,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,2589,,,NO,,02ebe70bab302beaf986f9f73e49b411546dbb2c8443781d85721856de6dea0b,,,
dick,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1247,,,NO,,031bb9365e0521ce438f0c1de011d4c36382eab9783760695cf6b900aa789b3f,,,
buttsex,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,168,,semantic_support,NO,,032c49e1dc703b66831e889864b3867a6bcc296a52414e6f64ea14efc40cc2c8,,,
pussy_spread,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1300,,,NO,,03501d34333d66f290d38c2e9878c33e9194281dd4721c6c22712547cb5a3109,,,
center_opening,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2213,CLOTHING_EXPOSURE,visual_state,NO,,03a05dd7ba023d58d1ef4de9792da45bec849a884f0783b71c930f2cc40199ec,,,
breast-to-pectoral_docking,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,2435,,,NO,,03a9b7807f602feeaf4ea056da5b6fd5ebf00aa43ff2edaf6422b8226e57dd08,,,
crossdressing_(ftm),P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING_STATE_EXPOSURE,,HIGH,2366,CLOTHING_EXPOSURE,visual_state,NO,,03aa8f4c82c86b8e7b026090f73ff895313622500a2704ef82a7d0c0f2110c2c,,,
skeleton,P1_SPECIAL_OR_OVERLAP,YES,YES,LIVING_NATURE/CREATURE,,HIGH,2167,DAMAGE_STATE_ACTION,state_or_action,NO,,03b916bf71cc0447c57af2c503a518254544e233171877369db48b01e8643e29,,,
grinding_(sexual),P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1377,,,NO,,03dafa656712cb7e411e71efd747e39f50fdb343367098d4c36f8beb6b96ab34,,,
penis_earrings,P1_SPECIAL_OR_OVERLAP,YES,YES,CLOTHING/ACCESSORY,,HIGH,1176,,,NO,,03db340ba67b142c43108b6bb2ae255a957df060f7be385034e5b6ed1bfc4138,,,
foot_licking,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1662,,,NO,,03f5f2140f41b427a802cc4ea2c127174ca246eb053961da2b3421a2e1acf120,,,
nipple_ring,P1_SPECIAL_OR_OVERLAP,NO,YES,,,,1369,,,NO,,0415d81953331fa31a76cba2f456836ec1e9e79f2e2b281f1027515232d2be0c,,,
testicles_touching,P1_SPECIAL_OR_OVERLAP,YES,YES,ACTION_CONTACT/INTIMATE,,HIGH,709,DIRECT_COMPOSITE,spatial_relation,NO,,042aedba2fcb72fdd8a773ca85958fd689fc0f6b6358f1d84cb155ee4bedd0fc,,,
