identity_key,candidate_state,reason
breath_weapon,ORDINARY_CLEAN,no_body_contact_risk
breathing_fire,ORDINARY_CLEAN,no_body_contact_risk
breathing_ice,ORDINARY_CLEAN,no_body_contact_risk
breathing_on_hands,ORDINARY_CLEAN,no_body_contact_risk
bribery,ORDINARY_CLEAN,no_body_contact_risk
broken_hypnosis,ORDINARY_CLEAN,no_body_contact_risk
broom_guitar,ORDINARY_CLEAN,no_body_contact_risk
brushing,ORDINARY_CLEAN,no_body_contact_risk
brushing_another's_hair,ORDINARY_CLEAN,no_body_contact_risk
brushing_hair,ORDINARY_CLEAN,no_body_contact_risk
brushing_own_hair,ORDINARY_CLEAN,no_body_contact_risk
brushing_tail,ORDINARY_CLEAN,no_body_contact_risk
brushing_teeth,ORDINARY_CLEAN,no_body_contact_risk
bubble_tea_challenge,ORDINARY_CLEAN,no_body_contact_risk
bucket_on_head,ORDINARY_CLEAN,no_body_contact_risk
bucket_spill,ORDINARY_CLEAN,no_body_contact_risk
bug_hunting,ORDINARY_CLEAN,no_body_contact_risk
bugles_on_fingers,ORDINARY_CLEAN,no_body_contact_risk
building_sand_sculpture,ORDINARY_CLEAN,no_body_contact_risk
building_snowman,ORDINARY_CLEAN,no_body_contact_risk
bulge_lift,ORDINARY_CLEAN,no_body_contact_risk
bulge_press,ORDINARY_CLEAN,no_body_contact_risk
bullet_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
bumping,ORDINARY_CLEAN,no_body_contact_risk
bunching_hair,ORDINARY_CLEAN,no_body_contact_risk
bunny_ears_prank,ORDINARY_CLEAN,no_body_contact_risk
buried,ORDINARY_CLEAN,no_body_contact_risk
buried_in_sculpted_sand,ORDINARY_CLEAN,no_body_contact_risk
burning_at_the_stake,ORDINARY_CLEAN,no_body_contact_risk
burp,ORDINARY_CLEAN,no_body_contact_risk
bursting,ORDINARY_CLEAN,no_body_contact_risk
burying,ORDINARY_CLEAN,no_body_contact_risk
bust_measuring,ORDINARY_CLEAN,no_body_contact_risk
butt_bump,ORDINARY_CLEAN,no_body_contact_risk
butt_crush,ORDINARY_CLEAN,no_body_contact_risk
butterfly_in_eye,ORDINARY_CLEAN,no_body_contact_risk
butterfly_on_face,ORDINARY_CLEAN,no_body_contact_risk
butterfly_on_hair,ORDINARY_CLEAN,no_body_contact_risk
butterfly_on_hand,ORDINARY_CLEAN,no_body_contact_risk
butterfly_on_head,ORDINARY_CLEAN,no_body_contact_risk
butterfly_on_mouth,ORDINARY_CLEAN,no_body_contact_risk
butterfly_on_nose,ORDINARY_CLEAN,no_body_contact_risk
butterfly_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
butterfly_over_eye,ORDINARY_CLEAN,no_body_contact_risk
buttoning,ORDINARY_CLEAN,no_body_contact_risk
cake_on_head,ORDINARY_CLEAN,no_body_contact_risk
calling,ORDINARY_CLEAN,no_body_contact_risk
can_to_cheek,ORDINARY_CLEAN,no_body_contact_risk
candle_on_head,ORDINARY_CLEAN,no_body_contact_risk
candle_on_headwear,ORDINARY_CLEAN,no_body_contact_risk
cannibalism,ORDINARY_CLEAN,no_body_contact_risk
captured,ORDINARY_CLEAN,no_body_contact_risk
car_crash,ORDINARY_CLEAN,no_body_contact_risk
card_between_fingers,ORDINARY_CLEAN,no_body_contact_risk
card_in_hat,ORDINARY_CLEAN,no_body_contact_risk
card_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
caress,ORDINARY_CLEAN,no_body_contact_risk
caressing_cheek,ORDINARY_CLEAN,no_body_contact_risk
carrot_in_pocket,ORDINARY_CLEAN,no_body_contact_risk
carrot_on_stick,ORDINARY_CLEAN,no_body_contact_risk
carry_me,ORDINARY_CLEAN,no_body_contact_risk
carrying,ORDINARY_CLEAN,no_body_contact_risk
carrying_baby,ORDINARY_CLEAN,no_body_contact_risk
carrying_multiple_people,ORDINARY_CLEAN,no_body_contact_risk
carrying_over_shoulder,ORDINARY_CLEAN,no_body_contact_risk
carrying_overhead,ORDINARY_CLEAN,no_body_contact_risk
carrying_person,ORDINARY_CLEAN,no_body_contact_risk
carrying_under_arm,ORDINARY_CLEAN,no_body_contact_risk
casing_ejection,ORDINARY_CLEAN,no_body_contact_risk
casting_spell,ORDINARY_CLEAN,no_body_contact_risk
cat_on_chest,ORDINARY_CLEAN,no_body_contact_risk
cat_on_head,ORDINARY_CLEAN,no_body_contact_risk
cat_on_keyboard,ORDINARY_CLEAN,no_body_contact_risk
cat_on_lap,ORDINARY_CLEAN,no_body_contact_risk
cat_on_person,ORDINARY_CLEAN,no_body_contact_risk
cat_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
catching,ORDINARY_CLEAN,no_body_contact_risk
catfight,ORDINARY_CLEAN,no_body_contact_risk
celebration,ORDINARY_CLEAN,no_body_contact_risk
chained,ORDINARY_CLEAN,no_body_contact_risk
chained_legs,ORDINARY_CLEAN,no_body_contact_risk
chained_wrists,ORDINARY_CLEAN,no_body_contact_risk
character_transformation,ORDINARY_CLEAN,no_body_contact_risk
chasing,ORDINARY_CLEAN,no_body_contact_risk
cheating_(competitive),ORDINARY_CLEAN,no_body_contact_risk
checking_pulse,ORDINARY_CLEAN,no_body_contact_risk
checkout_(shopping),ORDINARY_CLEAN,no_body_contact_risk
cheek-to-cheek,ORDINARY_CLEAN,no_body_contact_risk
cheek_on_glass,ORDINARY_CLEAN,no_body_contact_risk
cheek_pinching,ORDINARY_CLEAN,no_body_contact_risk
cheek_poking,ORDINARY_CLEAN,no_body_contact_risk
cheek_press,ORDINARY_CLEAN,no_body_contact_risk
cheek_pull,ORDINARY_CLEAN,no_body_contact_risk
cheek_squash,ORDINARY_CLEAN,no_body_contact_risk
cheering,ORDINARY_CLEAN,no_body_contact_risk
cherry_stem_knot,ORDINARY_CLEAN,no_body_contact_risk
chest_on_pillow,ORDINARY_CLEAN,no_body_contact_risk
chewing,ORDINARY_CLEAN,no_body_contact_risk
chibi_on_head,ORDINARY_CLEAN,no_body_contact_risk
chibi_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
chidori_(naruto),ORDINARY_CLEAN,no_body_contact_risk
child_carry,ORDINARY_CLEAN,no_body_contact_risk
chin_rub,ORDINARY_CLEAN,no_body_contact_risk
chisato_carrying_takina_(lycoris_recoil),ORDINARY_CLEAN,no_body_contact_risk
chocolate_on_ass,ORDINARY_CLEAN,no_body_contact_risk
chocolate_on_clothes,ORDINARY_CLEAN,no_body_contact_risk
chocolate_on_face,ORDINARY_CLEAN,no_body_contact_risk
chocolate_on_foot,ORDINARY_CLEAN,no_body_contact_risk
chocolate_on_hand,ORDINARY_CLEAN,no_body_contact_risk
chocolate_on_legs,ORDINARY_CLEAN,no_body_contact_risk
chocolate_on_pectorals,ORDINARY_CLEAN,no_body_contact_risk
choker_pull,ORDINARY_CLEAN,no_body_contact_risk
chopsticks_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
choso_giving_toudou_a_haircut_(meme),ORDINARY_CLEAN,no_body_contact_risk
